,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
754,18 20 22.7497,-10 11 13.626,18204-1011,BD-10 4662 ,      , 89874,2008.4638,16.7,1.033,     ,698,39, ,HIP  89874,275.09479,-10.18712,,,,,,,
755,18 23 47.9781,+53 18 03.024,18238+5318,HR 6911    ,169885, 90146,2007.418,45.7,0.875,     ,698,39, ,HIP  90146,275.94991,53.30084,,,,,,,
756,18 23 51.1894,-19 30 16.616,18238-1930,ADS 11302  ,      , 90153,2008.4638,81.8,1.193,     ,698,39, ,HIP  90153,275.96329,-19.504620000000003,,,,,,,
757,18 24 17.3845,-04 05 17.761,18243-0405,BD-04 4459 ,169310, 90198,2008.4666,3.8,0.29600000000000004, 2.19,754,44, ,HIP  90198,276.07244,-4.08827,5.5217,5.521726893334267,9.90999984741211,,8.821000099182129,8.52400016784668,8.482999801635742
758,18 27 52.7004,+01 23 50.373,18279+0124,BD+01 3680 ,      , 90490,2007.3279,325.1,0.618, 1.21,550,40, ,HIP  90490,276.96958,1.39733,14.9004,14.900410345694473,6.386000156402588,,5.681000232696532,5.5970001220703125,5.539999961853027
761,18 28 06.1658,-26 45 26.073,18281-2645,CD-26 13192,169938, 90510,2007.4235,128.6,0.127, 2.34,754,44, ,HIP  90510,277.02569,-26.757240000000003,,,,,,,
762,18 29 05.0329,-29 54 52.492,18291-2955,CD-29 14992,170123, 90588,2007.4235,27.6,0.7829999999999999, 3.70,754,44, ,HIP  90588,277.27097000000003,-29.914579999999997,,,,,,,
763,18 38 23.7985,-03 11 37.103,18384-0312,ADS 11520  ,172088, 91394,2008.4666,18.1,0.102, 0.00,754,44, ,HIP  91394,279.59916,-3.1936400000000003,,,,,,,
764,18 45 28.3642,+05 30 00.444,18455+0530,ADS 11640  ,173495, 92027,2008.4611,314.3,0.168, 1.53,550,40, ,HIP  92027,281.36818,5.50012,9.1,,3.5499999523162837,,3.4489998817443848,3.561000108718872,3.378000020980835
765,18 46 22.2363,+75 26 02.268,18464+7526,BD+75 682  ,175286, 92112,2007.3279,295.1,0.365, 3.89,550,40, ,HIP  92112,281.59265,75.43396,,,,,,,
770,18 48 01.4840,-10 08 46.707,18480-1009,BD-10 4804 ,173872, 92250,2007.3306,54.4,0.593, 2.81,698,39, ,HIP  92250,282.00618,-10.14631,,,,,,,
771,18 49 01.0215,+34 32 29.424,18490+3432,BD+34 3326 ,174433, 92325,2008.4639,270.7,0.102, 2.83,698,39, ,HIP  92325,282.25426,34.541509999999995,,,,,,,
772,18 52 27.4382,+26 32 05.748,18525+2632,BD+26 3379 ,175036, 92631,2007.4208,72.1,0.958, 4.51,550,40, ,HIP  92631,283.11433,26.53493,48.94,,,9.5,7.035,6.417000000000001,6.261
773,18 57 07.5435,+34 51 19.892,18571+3451,BD+34 3368 ,176087, 93037,2007.3224,198.0,0.469, 2.15,754,44, ,HIP  93037,284.28143,34.85553,,,,,,,
775,19 02 36.7303,-29 52 48.228,19026-2953,ADS 11950  ,176687, 93506,2007.4236,234.6,0.299, 0.35,754,44,b,HIP  93506,285.65304,-29.880059999999997,,,,,,,
776,19 02 39.4112,+43 07 02.940,19027+4307,BD+42 3233 ,177412, 93511,2007.3224,117.8,0.111, 1.04,754,44, ,HIP  93511,285.66421,43.11748,,,,,,,
778,19 06 58.6029,+11 04 16.417,19070+1104,HR 7248    ,178125, 93867,2007.3279,274.4,0.314, 1.06,550,40, ,HIP  93867,286.74418,11.07123,,,,,,,
784,19 08 53.9367,+34 03 44.113,19089+3404,BD+33 3339 ,      , 94056,2008.464,16.3,0.14300000000000002, 0.26,698,39,c,HIP  94056,287.22474,34.06225,44.3975,,,8.5,6.9099998474121085,6.3460001945495605,6.193999767303468
785,19 09 04.3871,+34 36 01.630,19091+3436,ADS 12101  ,178911, 94076,2007.3224,140.1,0.07, 1.86,754,44, ,HIP  94076,287.26828,34.60045,,,,,,,
788,19 15 18.8424,+24 53 49.453,19153+2454,BD+24 3692 ,338030, 94622,2007.4236,295.8,0.16, 0.34,754,44,a,HIP  94622,288.82851,24.897070000000003,,,,,,,
789,19 20 19.5439,+69 54 59.188,19203+6955,BD+69 1043 ,182712, 95044,2007.4181,239.2,0.727, 3.39,698,39, ,HIP  95044,290.08142999999995,69.91644000000001,,,,,,,
791,19 21 45.0549,+77 07 41.563,19218+7708,BD+76 735  ,183678, 95178,2007.4181,7.6,0.26, 2.87,698,39, ,HIP  95178,290.43773,77.12821,13.0859,13.085903903819856,8.689999580383299,,7.300000190734862,6.931000232696532,6.841000080108643
793,19 24 36.2678,+05 23 58.675,19246+0524,BD+05 4135 ,182474, 95421,2008.4611,172.1,0.7090000000000001,     ,550,40, ,HIP  95421,291.15112,5.39963,,,,,,,
794,19 41 57.6163,+40 15 14.926,19420+4015,HR 7499    ,186307, 96907,2007.3224,163.7,0.41200000000000003, 1.39,754,44, ,HIP  96907,295.49007,40.25415,5.781000000000001,5.781006086883759,8.640000343322754,,7.642000198364258,7.389999866485597,7.3520002365112305
798,19 46 19.2101,+54 38 18.401,19463+5438,BD+54 2222 ,187253, 97286,2007.4236,354.0,0.168, 3.30,754,44, ,HIP  97286,296.58004,54.63844,7.3568,7.356840239722887,6.369999885559082,,6.2150001525878915,6.2750000953674325,6.214000225067139
799,19 48 58.6598,+19 08 31.352,19490+1909,ADS 12973  ,187362, 97496,2007.4209,183.7,0.159, 0.27,550,40, ,HIP  97496,297.24442,19.142039999999998,20.95,,,9.8,8.336,7.779,7.646
801,19 51 17.7322,+09 37 47.586,19513+0938,BD+09 4288 ,187753, 97697,2007.421,95.4,0.34700000000000003, 3.17,550,40, ,HIP  97697,297.82388,9.62988,7.5686,7.568642805892228,6.0900001525878915,,5.4780001640319815,5.382999897003174,5.306000232696533
802,19 51 19.3795,+47 22 38.049,19513+4723,HR 7577    ,188074, 97700,2007.3224,170.1,0.16899999999999998, 0.00,754,44, ,HIP  97700,297.83075,47.37724,11.81,,6.445000171661378,,5.9000000953674325,5.7940001487731925,5.734000205993652
803,19 51 24.8001,+40 44 07.316,19514+4044,BD+40 3908 ,226195, 97706,2007.3279,27.9,0.099, 0.00,550,40,a,HIP  97706,297.85332999999997,40.73537,17.16,,8.890000343322754,,7.441999912261963,7.045000076293945,6.953999996185303
804,19 53 06.3857,-14 36 11.532,19531-1436,HR 7571    ,187949, 97849,2007.3306,212.4,0.21, 2.23,698,39,a,HIP  97849,298.27661,-14.6032,,,,,,,
805,19 55 19.5002,-06 44 05.222,19553-0644,ADS 13104  ,188405, 98038,2007.3306,101.7,0.555, 1.34,698,39, ,HIP  98038,298.83125,-6.734780000000001,,,,,,,
807,19 55 37.7862,+52 26 20.212,19556+5226,ADS 13148  ,189037, 98055,2007.3224,55.5,0.113, 0.46,754,44,a,HIP  98055,298.90744,52.43895,13.2413,,,8.699999809265138,7.681000232696532,7.257999897003174,7.162000179290772
809,19 57 13.3187,+35 01 53.054,19572+3502,BD+34 3806 ,189148, 98193,2007.3279,90.0,0.193, 4.12,550,40, ,HIP  98193,299.30548999999996,35.0314,8.09,,8.85,,7.856,7.691,7.607
810,19 58 37.9817,+30 59 01.194,19586+3059,HR 7640    ,189395, 98325,2007.3224,8.0,0.18899999999999997, 3.03,754,44, ,HIP  98325,299.65826,30.983659999999997,,,,,,,
811,19 59 47.3402,-09 57 29.717,19598-0957,BDS 9774   ,189340, 98416,2007.3306,347.2,0.076, 1.24,698,39,a,HIP  98416,299.94725,-9.95825,,7.398036981034679,,,,,
813,20 07 45.2305,+13 25 12.564,20078+1325,BD+12 4231 ,356668, 99151,2007.8196,215.6,0.736, 2.69,550,40, ,HIP  99151,301.93846,13.420160000000001,,,,,,,
814,20 10 25.4590,-19 23 00.455,20104-1923,BD-19 5731 ,191434, 99391,2007.8223,36.3,0.203, 2.67,698,39, ,HIP  99391,302.60607999999996,-19.38346,10.0315,10.03152161840148,7.610000133514403,,6.732999801635742,6.5440001487731925,6.498000144958496
815,20 13 39.8825,+27 32 06.671,20137+2732,BD+27 3653 ,192405, 99677,2007.3224,160.0,0.1, 1.25,754,44,c,HIP  99677,303.41618,27.535190000000004,,,,,,,
817,20 17 26.8038,-15 49 39.926,20174-1550,BD-16 5550 ,192823,100014,2007.8223,66.8,0.747,     ,698,39, ,HIP 100014,304.36168,-15.827760000000001,,,,,,,
818,20 20 39.2745,+16 00 55.845,20207+1601,BD+15 4138 ,193622,100309,2007.8196,159.0,0.48700000000000004, 3.82,550,40, ,HIP 100309,305.16364,16.01551,16.33,,6.230000019073486,,5.372000217437744,5.250999927520752,5.13100004196167
819,20 23 50.1051,+41 46 29.730,20238+4146,BD+41 3728 ,229230,100583,2007.4182,279.8,0.978,     ,698,39, ,HIP 100583,305.95877,41.77492,10.2873,10.287305780505283,7.170000076293945,,6.333000183105469,6.168000221252441,6.0900001525878915
823,20 24 46.6883,-19 42 36.002,20248-1943,BD-20 5925 ,194169,100685,2007.8223,91.7,0.345, 0.96,698,39, ,HIP 100685,306.19453,-19.71,,,,,,,
824,20 26 00.9448,+35 48 40.396,20260+3549,BD+35 4113 ,194738,100777,2007.8197,140.6,0.672, 3.38,550,40, ,HIP 100777,306.50394,35.81122,,,,,,,
825,20 31 01.9881,+59 52 33.503,20310+5953,BD+59 2251 ,195891,101218,2007.8251,2.6,0.446, 3.26,550,40, ,HIP 101218,307.75827999999996,59.875969999999995,,,,,,,
826,20 31 07.7683,+33 32 34.459,20311+3333,BD+33 3930 ,      ,101227,2007.8197,269.9,0.149, 0.63,550,40,c,HIP 101227,307.78237,33.54291,15.48,,6.427000045776367,,5.4710001945495605,5.314000129699707,5.230000019073486
827,20 35 26.2294,+11 21 25.665,20354+1121,BD+10 4330 ,196201,101597,2007.3225,250.0,0.565, 2.77,754,44, ,HIP 101597,308.85929,11.35713,,,,,,,
831,20 37 32.9413,+14 35 42.320,20375+1436,ADS 14073  ,196524,101769,2007.3225,7.9,0.513, 0.93,754,44, ,HIP 101769,309.38726,14.595089999999999,,,,,,,
833,20 39 38.2872,+15 54 43.464,20396+1555,ADS 14121  ,196867,101958,2008.4612,215.2,0.221, 2.44,550,40, ,HIP 101958,309.90952999999996,15.912070000000002,,,,,,,
834,20 40 35.3102,+15 38 35.681,20406+1539,BD+15 4227 ,197039,102029,2007.421,105.9,0.231, 0.83,550,40, ,HIP 102029,310.14713,15.643239999999999,,,,,,,
837,20 45 28.0618,+05 52 52.381,20455+0553,BD+05 4600 ,197737,102439,2007.8251,297.6,1.015,     ,550,40, ,HIP 102439,311.36692,5.88122,,,,,,,
838,20 46 09.6916,-21 44 44.765,20462-2145,BD-22 5522 ,197711,102486,2007.8224,116.1,0.627,     ,698,39, ,HIP 102486,311.54037999999997,-21.74577,,,,,,,
839,20 46 10.2490,+15 20 23.155,20462+1520,BD+14 4413 ,197896,      ,2007.421,240.2,0.898, 3.06,550,40, ,HD  197896,311.5427,15.339770000000001,,,,,,,
841,20 52 57.3458,+42 58 26.927,20530+4258,BD+42 3895 ,      ,103067,2007.4264,112.7,0.125, 1.22,550,40, ,HIP 103067,313.23894,42.97415,,,,,,,
843,20 53 41.3522,+59 18 27.461,20537+5918,ADS 14412  ,199306,103130,2007.4264,68.7,0.171, 0.43,550,40, ,HIP 103130,313.4223,59.30763,12.6754,12.675393428494575,7.239999771118164,,6.4060001373291025,6.249000072479247,6.192999839782715
845,20 58 13.4525,+35 10 29.652,20582+3510,BD+34 4217 ,      ,103505,2007.8197,310.4,1.148,     ,550,40, ,HIP 103505,314.55605,35.1749,,,,,,,
847,21 01 26.1261,+40 37 04.617,21014+4037,BD+40 4389 ,200325,103749,2007.8197,145.0,0.141, 3.31,550,40, ,HIP 103749,315.35886,40.61795,33.8804,,10.79800033569336,10.331000328063963,8.046999931335451,7.438000202178955,7.230000019073486
850,21 01 38.7453,+47 30 06.948,21016+4730,BD+46 3145 ,200406,103767,2007.4264,232.9,1.857,     ,550,40, ,HIP 103767,315.41143999999997,47.50193,,,,,,,
852,21 03 43.4672,+46 51 47.335,21037+4652,BD+46 3159 ,200753,103949,2007.4264,182.6,0.122, 0.27,550,40,a,HIP 103949,315.93111,46.86315,4.76,,10.11,,8.606,8.231,8.157
857,21 04 24.3013,-19 51 17.971,21044-1951,HR 8060    ,200499,104019,2007.8251,356.9,0.271, 2.27,550,40, ,HIP 104019,316.10126,-19.85499,13.2592,13.259179189158633,6.579999923706055,,5.627999782562256,5.400000095367432,5.324999809265137
858,21 05 07.9487,+07 56 43.565,21051+0757,BD+07 4621 ,200746,104075,2007.4183,19.7,0.22899999999999998, 3.65,698,39, ,HIP 104075,316.28312,7.94543,,,,,,,
862,21 08 45.4690,-04 25 36.934,21088-0426,BD-05 5480 ,      ,104383,2007.817,224.3,0.348, 1.77,754,44, ,HIP 104383,317.18945,-4.4269300000000005,,,,,,,
864,21 11 05.2745,+17 03 40.742,21111+1704,BD+16 4472 ,      ,104581,2007.4265,256.0,1.143,     ,550,40, ,HIP 104581,317.77198,17.061320000000002,7.3396,7.339563286876499,9.06999969482422,,7.927999973297119,7.632999897003174,7.546000003814697
867,21 13 28.7860,+15 58 56.621,21135+1559,ADS 14761  ,202128,104771,2007.4265,165.3,0.18, 0.17,550,40,a,HIP 104771,318.36994,15.982389999999999,25.2404,,7.130000114440918,,5.921999931335449,5.60099983215332,5.552000045776367
871,21 14 28.8153,+10 00 25.126,21145+1000,ADS 14773  ,202275,104858,2007.817,19.3,0.285, 0.00,754,44, ,HIP 104858,318.62006,10.00698,18.66,17.989476612494446,8.76,7.99,6.206,5.943,5.882000000000001
875,21 16 40.0531,+07 30 52.860,21167+0731,BD+06 4786 ,202586,105049,2007.4265,288.5,0.13699999999999998, 1.18,550,40, ,HIP 105049,319.16688999999997,7.51468,,,,,,,
879,21 18 34.8752,+11 34 07.768,21186+1134,ADS 14839  ,202908,105200,2007.4183,259.4,0.758,     ,698,39, ,HIP 105200,319.64531,11.56882,,,,,,,
884,21 19 35.9361,+49 13 15.641,21196+4913,BD+48 3346 ,203284,105290,2007.8224,135.7,0.261, 2.99,698,39, ,HIP 105290,319.89973,49.22101,,,,,,,
886,21 20 33.5488,+13 10 00.995,21206+1310,BD+12 4602 ,203220,105371,2007.8224,303.9,0.10300000000000001, 2.24,698,39,a,HIP 105371,320.13979,13.166939999999999,14.4114,14.411437185341716,7.449999809265138,,6.5809998512268075,6.4000000953674325,6.352000236511231
888,21 23 08.2986,+48 31 08.118,21231+4831,BD+47 3386 ,203839,105584,2007.8224,61.0,0.292, 2.18,698,39, ,HIP 105584,320.78458,48.51892,,,,,,,
890,21 27 23.2541,-07 00 56.947,21274-0701,BD-07 5565 ,204236,105947,2008.4613,151.5,0.214, 1.56,550,40, ,HIP 105947,321.84689,-7.01582,10.5833,10.583336858334668,7.3499999046325675,,6.5879998207092285,6.456999778747559,6.4130001068115225
891,21 32 57.4609,+24 07 38.622,21330+2408,BD+23 4334 ,205142,106394,2007.4237,236.9,0.33899999999999997, 2.00,754,44, ,HIP 106394,323.23942,24.12739,15.4345,15.434489066795194,7.71999979019165,,6.5320000648498535,6.291999816894531,6.160999774932861
894,21 33 54.1400,+48 33 19.220,21339+4833,BD+47 3472 ,      ,      ,2007.8224,214.2,0.263, 0.95,698,39, ,** YR 3   ,323.47558,48.55534,21.0903,,,9.199999809265137,7.889999866485597,7.386000156402588,7.241000175476074
896,21 34 21.0724,-07 44 45.873,21344-0745,BD-08 5680 ,      ,106510,2008.4613,148.7,0.196, 1.60,550,40, ,HIP 106510,323.5878,-7.74608,,,,,,,
897,21 37 56.0657,+21 02 29.025,21379+2102,BD+20 4977 ,205897,106804,2007.4237,355.5,0.11, 0.45,754,44,a,HIP 106804,324.48361,21.0414,4.36,4.442060087444983,8.68,,7.47,7.207000000000001,7.142
900,21 44 08.5779,+28 44 33.473,21441+2845,ADS 15270  ,206826,107310,2007.8252,313.0,1.808,     ,550,40, ,HIP 107310,326.03574,28.74263,14.4646,14.464590928518579,9.05,8.79,7.026,6.742000000000001,6.655
901,21 42 22.9589,+41 04 37.274,21424+4105,HR 8300    ,206644,107162,2007.8224,67.1,0.139, 0.24,698,39, ,HIP 107162,325.59566,41.077020000000005,,,,,,,
903,21 44 38.7352,+25 38 42.136,21446+2539,ADS 15281  ,206901,107354,2007.8252,138.0,0.175, 0.28,550,40, ,HIP 107354,326.1614,25.645039999999998,,,,,,,
904,21 50 08.6999,+17 17 09.059,21501+1717,HR 8344    ,207652,107788,2008.4642,22.3,0.235, 1.11,698,39, ,HIP 107788,327.53625,17.28585,,,,,,,
905,21 59 15.3600,+46 05 30.832,21593+4606,BD+45 3750 ,      ,108536,2007.8225,352.6,0.217, 0.46,698,39,c,HIP 108536,329.814,46.0919,,,,,,,
906,22 02 55.0448,+15 46 56.857,22029+1547,BD+15 4549 ,209421,108842,2007.8198,193.6,0.073, 0.45,550,40, ,HIP 108842,330.72935,15.78246,,,,,,,
910,22 08 18.7772,+24 09 24.392,22083+2409,BD+23 4472 ,210211,109281,2007.8171,189.3,0.052000000000000005, 0.70,754,44,a,HIP 109281,332.07824,24.156779999999998,8.1173,8.117251298906604,9.079999923706056,,8.104999542236326,7.822999954223633,7.752999782562256
914,22 12 13.3812,+08 27 38.213,22122+0828,BD+07 4818 ,210718,109608,2007.8199,303.3,0.23800000000000002, 0.50,550,40, ,HIP 109608,333.05575,8.46061,,,,,,,
916,22 12 25.7561,-14 11 38.244,22124-1412,HR 8462    ,210705,109624,2007.8171,268.6,0.41, 2.76,754,44, ,HIP 109624,333.10732,-14.19396,,,,,,,
918,22 12 33.1048,-18 01 37.777,22126-1802,BD-18 6084 ,210707,109634,2007.8226,197.3,0.22, 1.27,698,39, ,HIP 109634,333.13794,-18.027160000000002,13.7891,13.789097888412433,8.779999732971191,,7.364999771118164,7.006999969482423,6.88100004196167
919,22 13 00.5209,-13 01 41.922,22130-1302,BD-13 6130 ,210776,109672,2007.8171,295.5,0.838, 3.22,754,44, ,HIP 109672,333.25217000000004,-13.028310000000001,,,,,,,
920,22 16 06.5643,-07 05 26.619,22161-0705,BD-07 5737 ,211276,109951,2007.8171,103.7,0.38299999999999995, 1.44,754,44, ,HIP 109951,334.02735,-7.090730000000001,,,,,,,
922,22 16 17.9955,+73 36 16.582,22163+7336,BD+72 1025 ,211771,109962,2007.8253,226.3,0.193, 1.04,550,40, ,HIP 109962,334.07498,73.60461,,,,,,,
923,22 21 43.3465,-17 09 40.936,22217-1710,BD-17 6500 ,      ,110401,2007.8226,180.3,0.664,     ,698,39, ,HIP 110401,335.43061,-17.16137,,,,,,,
924,22 22 47.2841,-29 37 10.146,22228-2937,CD-30 19122,212146,110483,2007.8227,155.4,0.10300000000000001, 1.88,698,39, ,HIP 110483,335.69702,-29.61948,,,,,,,
925,22 25 31.2059,-15 35 55.761,22255-1536,BD-16 6081 ,212560,110689,2007.8172,169.0,0.152, 2.51,754,44, ,HIP 110689,336.38002,-15.598820000000002,12.7803,12.780317429653039,8.630000114440918,,7.573999881744385,7.315999984741211,7.217999935150146
926,22 30 09.3213,-29 24 24.812,22302-2924,CD-30 19181,213185,111076,2007.8227,193.6,0.7020000000000001,     ,698,39, ,HIP 111076,337.53884,-29.40689,,,,,,,
927,22 32 30.6167,+59 01 37.721,22325+5902,BD+58 2450 ,213758,111266,2007.8253,92.4,0.33799999999999997, 2.10,550,40, ,HIP 111266,338.12757,59.02714,,,,,,,
928,22 33 22.5895,+38 07 36.240,22334+3808,BD+37 4611 ,213786,111335,2007.8225,140.2,0.594, 4.15,698,39, ,HIP 111335,338.34412000000003,38.12673,,,,,,,
929,22 35 47.2733,+19 42 59.737,22358+1943,BD+18 5009 ,214113,111535,2007.8254,28.1,0.685, 3.48,550,40, ,HIP 111535,338.94697,19.71659,,,,,,,
930,22 37 19.1470,+69 12 31.070,22373+6913,BD+68 1319 ,214606,111670,2007.8253,357.9,0.551, 2.61,550,40, ,HIP 111670,339.32977999999997,69.20863,9.72,8.544899152525193,6.55,,6.154,6.024,5.987
931,22 37 29.9021,+39 22 51.623,22375+3923,BD+38 4818 ,      ,111685,2007.8225,156.0,0.145, 1.89,698,39, ,HIP 111685,339.37459,39.381009999999996,,,,,,,
932,22 38 47.4715,+44 18 50.032,22388+4419,ADS 16138  ,214608,111805,2007.8225,156.2,0.215, 0.51,698,39, ,HIP 111805,339.6978,44.3139,,,,,,,
933,22 40 52.6817,+14 32 56.976,22409+1433,ADS 16173  ,214850,111974,2007.8254,82.6,0.32799999999999996, 0.91,550,40, ,HIP 111974,340.21951,14.54916,,,,,,,
934,22 44 54.0015,-06 54 11.744,22449-0654,BD-07 5847 ,215389,112308,2007.8254,142.7,0.18899999999999997, 0.69,550,40,c,HIP 112308,341.22501,-6.90326,,,,,,,
936,22 48 53.8453,-20 29 01.819,22489-2029,BD-21 6307 ,      ,112650,2007.8227,215.3,0.287, 1.45,698,39, ,HIP 112650,342.22436,-20.48384,,,,,,,
937,22 49 17.3033,+15 16 32.143,22493+1517,BD+14 4876 ,216027,112695,2007.8254,183.6,0.063, 2.54,550,40, ,HIP 112695,342.3221,15.2756,7.4510000000000005,7.451019989867501,8.159999847412111,,6.507999897003174,6.059999942779541,5.96999979019165
938,22 53 25.1367,-09 05 34.039,22534-0906,BD-09 6077 ,216493,113026,2007.8254,35.5,1.5930000000000002,     ,550,40, ,HIP 113026,343.35474,-9.092789999999999,14.4123,14.412259768188775,6.739999771118164,,5.750999927520753,5.502999782562256,5.47599983215332
939,22 53 28.7035,-11 36 59.453,22535-1137,HR 8704    ,216494,113031,2007.8172,307.9,0.057999999999999996, 0.37,754,44, ,HIP 113031,343.3696,-11.61651,9.45,,8.189999580383299,,7.09499979019165,6.810999870300293,6.738999843597412
941,22 53 43.8439,+25 58 00.205,22537+2558,BD+25 4836 ,      ,113055,2007.8254,315.7,0.21100000000000002, 0.55,550,40, ,HIP 113055,343.43268,25.966720000000002,9.04,9.670405762344934,9.53,,8.075,7.729,7.657
942,22 54 56.9429,-19 18 43.143,22549-1919,BD-20 6504 ,216663,113163,2007.82,174.8,0.287, 2.99,550,40, ,HIP 113163,343.73726,-19.31198,,,,,,,
943,22 59 49.4538,-02 26 23.314,22598-0226,BD-03 5545 ,217286,113547,2007.8254,229.2,0.711, 3.08,550,40, ,HIP 113547,344.95606000000004,-2.43981,,,,,,,
944,23 03 07.0781,+04 56 25.148,23031+0456,BD+04 4952 ,217801,113832,2007.8227,252.8,0.6970000000000001, 2.42,698,39, ,HIP 113832,345.77949,4.94032,,,,,,,
945,23 03 21.3849,+58 33 49.886,23034+5834,BD+57 2676 ,217944,113852,2007.8253,134.4,0.423, 3.52,550,40, ,HIP 113852,345.8391,58.56386,12.6916,12.691598536095395,8.270000457763674,,7.2849998474121085,7.074999809265138,7.008999824523926
946,23 05 09.7869,-07 41 37.685,23052-0742,ADS 16497  ,218060,113996,2007.8255,20.1,0.171, 0.13,550,40, ,HIP 113996,346.29078,-7.6938,7.9,,7.1040000915527335,,6.171000003814697,5.97599983215332,5.914000034332275
948,23 09 31.4574,+08 40 37.764,23095+0841,ADS 16550  ,218634,114347,2007.82,330.1,0.157, 2.99,550,40, ,HIP 114347,347.38107,8.67716,,,,,,,
949,23 10 39.5589,+09 46 45.163,23107+0947,BD+08 5011 ,218793,114444,2007.82,330.4,0.34299999999999997, 1.85,550,40, ,HIP 114444,347.66483,9.77921,,,,,,,
951,23 12 06.6169,+26 55 45.805,23121+2656,BD+26 4581 ,      ,114543,2007.82,171.3,1.319,     ,550,40, ,HIP 114543,348.02757,26.92939,,,,,,,
953,23 20 52.9339,+16 42 38.563,23209+1643,BD+15 4809 ,220077,115279,2007.82,153.0,0.166, 0.96,550,40, ,HIP 115279,350.22056000000003,16.71071,8.32,,6.829999923706055,,6.2129998207092285,6.126999855041504,6.072999954223633
954,23 26 40.3575,+45 20 17.305,23266+4520,BD+44 4419 ,220821,115715,2007.8172,210.3,0.43200000000000005, 2.79,754,44, ,HIP 115715,351.66816,45.33814,,,,,,,
956,23 26 43.3545,+41 02 45.234,23267+4103,BD+40 5078 ,220834,115723,2007.8172,359.1,0.898,     ,754,44, ,HIP 115723,351.68064,41.0459,,,,,,,
958,23 27 04.1460,+13 06 38.845,23271+1307,BD+12 4986 ,220848,115751,2007.8227,240.6,0.42, 2.88,698,39, ,HIP 115751,351.76727,13.11079,,,,,,,
959,23 30 57.8983,+07 43 42.764,23310+0744,BD+06 5166 ,221295,116058,2007.8228,170.5,0.507, 3.05,698,39, ,HIP 116058,352.74124,7.72855,14.3527,,,8.5,7.494999885559082,7.119999885559082,7.058000087738037
960,23 33 24.0610,+42 50 47.853,23334+4251,BD+42 4700 ,221613,116259,2007.8172,328.9,0.19, 1.83,754,44, ,HIP 116259,353.35025,42.84663,,,,,,,
963,23 33 46.5147,-05 07 57.072,23338-0508,BD-05 6012 ,221630,116294,2007.8228,76.5,0.71, 1.85,698,39, ,HIP 116294,353.44381,-5.1325199999999995,,,,,,,
964,23 35 00.2761,+01 36 19.441,23350+0136,BD+00 5017 ,      ,116384,2007.8228,344.8,0.804,     ,698,39, ,HIP 116384,353.75115,1.6054,7.0511,7.0510889113111865,7.559999942779541,,6.815999984741211,6.668000221252441,6.609000205993652
966,23 37 27.3558,+49 21 50.599,23375+4922,BD+48 4109 ,222104,116578,2007.8254,20.5,0.344, 0.52,550,40, ,HIP 116578,354.36397999999997,49.364059999999995,12.6921,12.692058412038385,3.900000095367432,3.8199999332427983,3.7799999713897705,3.759999990463257,3.759999990463257
967,23 44 16.6147,+36 20 20.167,23443+3620,BD+35 5086 ,222858,117094,2007.8172,250.6,0.619, 2.80,754,44, ,HIP 117094,356.06923,36.33894,,,,,,,
969,23 44 31.2303,+08 30 14.550,23445+0830,BD+07 5081 ,222876,117110,2007.8228,40.0,0.629, 2.86,698,39, ,HIP 117110,356.13013,8.50404,,,,,,,
970,23 51 10.6779,+44 32 51.724,23512+4433,BD+43 4560 ,223627,117615,2007.8254,100.2,0.907,     ,550,40, ,HIP 117615,357.79449,44.5477,,,,,,,
973,23 57 40.5816,+42 08 32.246,23577+4209,BD+41 4906 ,224416,      ,2007.8201,239.5,0.157, 2.26,550,40, ,HD 224416 ,359.41909,42.14229,8.6368,8.636848356922387,8.050000190734862,,7.151999950408936,7.002999782562256,6.958000183105469
